CLAVE SITIO,NOMBRE DEL SITIO,COLI_FEC,COT,COT_SOL,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,TEMP_AMB
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",3873,0.088,0.088,0.24291,0.11868,0.50789,1.70646,2.57594,1.94937,0.2443,0.0065,15,0.1318,20160,52,17,0.0018,0.00023,0.00099,0.0001,0.00036,0.00154,26
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",650,0.088,0.088,0.15827,0.03481,0.28968,2.12374,2.6065,2.28201,0.2215,0.0221,25,0.1266,37680,64,16,0.0117,0.00023,0.0507,0.0001,0.0409,0.00154,30
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",75,0.088,0.088,0.06745,0.00257,0.02355,1.15225,1.24582,1.2197,0.0668,0.0028,8,0.0299,52080,17,4.8,0.0018,0.00023,0.00099,0.00005,0.00036,0.00154,32
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",1650,0.088,0.088,0.079581,0.00238,0.156732,0.673747,0.91244,0.753328,0.0815,0.0161,3,0.0525,52720,41,7.2,0.0018,0.00023,0.00099,0.00042,0.00036,0.00154,33
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",650,5.164,4.965,0.023531,0.027206,0.092956,1.59297,1.736663,1.616501,0.0758,0.0082,8,0.0901,33360,25,14,0.0018,0.00023,0.00099,0.0001,0.00036,0.00154,24
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",1467,6.061,5.713,0.048035,0.008355,0.126543,1.953,2.135933,2.001035,0.1008,0.0132,13,0.1025,31200,36.3636,9.3,0.0018,0.00023,0.00099,0.00008,0.00036,0.00154,26
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",336,11.38,10.21,0.391148,0.003731,0.035481,2.53915,2.96951,2.930298,0.1968,0.0623,15,0.17,18160,142.8571,10,0.0149,0.00023,0.00099,0.0001,0.0035,0.00154,27
OCPNO4516,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 36, 4 ISA8A",1722,10.77,8.792,0.131262,0.0959,1.0527,2.00632,3.286182,2.137582,0.181,0.0039,50,0.1404,20400,31.25,6,0.0157,0.00023,0.0086,0.0001,0.00036,0.00154,25
OCPNO4517,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 3,6 ISA8A",1354,10.227,8.815,0.081,0.06,0.275,1.69,2.106,1.771,0.148,0.013,20,0.089,34906.4,36.7,17,0.00139,0.0002,0.00088,0.00034,0.0002,0.00154,25
OCPNO4517,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 3,6 ISA8A",226,0.088,0.088,0.092,0.002,0.012,1.761,1.867,1.853,0.103,0.022,5,0.087,39040,13.3,8.5,0.00139,0.0002,0.00088,0.00032,0.0002,0.00154,27
OCPNO4517,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 3,6 ISA8A",364,17.989,9.717,0.054,0.002,0.097,2.394,2.547,2.448,0.353,0.026,15,0.083,38960,21,7.1,0.00139,0.0002,0.00088,0.00072,0.0002,0.00154,33
OCPNO4517,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 3,6 ISA8A",677,20.593,12.124,0.032,0.001,0.064,2.179,2.276,2.211,0.102,0.018,30,0.115,47600,17.3,8.4,0.01,0.0002,0.00088,0.00101,0.0002,0.00154,34
OCPNO4517,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 3,6 ISA8A",1597,0.088,0.088,0.078513,0.004012,0.024918,1.819531,1.926974,1.898044,0.120702,0.015048,8,0.061,36320,38.67,11,0.0018,0.00023,0.00099,0.000124,0.00036,0.00154,31
OCPNO4517,"BAHIA DE OUHIRA TOPOLOBAMPO SEG 3,6 ISA8A",2035,0.088,0.088,0.112929,0.001259,0.031095,1.993561,2.138844,2.10649,0.217083,0.022672,3,0.086,39520,136,27,0.0018,0.00023,0.00099,0.000059,0.00036,0.00154,33
